element,index,name,converged,max_line_loading,max_trafo_loading,min_voltage,max_voltage,n_line_ovl,n_trafo_ovl,n_v_low,n_v_high,PI,critical
line,0,RL1,True,105.19182523277325,216.89936194837176,0.8285859283981439,1.0634894401614703,2,7,13,7,19.176542512998548,True
line,1,CL5,True,105.3487120113306,218.46150831791113,0.8295275738050405,1.061245331363739,2,7,13,3,19.007113656558328,True
line,3,CL17,False,,,,,-1,-1,-1,-1,1000000.0,True
line,5,RL7,True,105.1850568897471,216.58230793771628,0.8282015375560873,1.0635140003942132,2,7,13,8,19.216675208120126,True
line,6,CL13,False,,,,,-1,-1,-1,-1,1000000.0,True
line,8,CL4,True,117.59354895910197,223.11606594237844,0.8293922057175966,1.0634972944116294,4,7,12,5,19.61647251084163,True
line,9,CL10,False,,,,,-1,-1,-1,-1,1000000.0,True
line,10,CL8,False,,,,,-1,-1,-1,-1,1000000.0,True
line,12,FL5,True,105.68057670789213,237.14477085873483,0.8118388318113731,1.0616904510582656,2,9,15,8,22.42473745024783,True
line,15,RL3,True,149.34541180424955,220.55132430861147,0.8143727924325451,1.0630994887504102,5,7,13,7,22.470296136067937,True
line,16,FL12,True,105.2065484219005,217.57227247027222,0.8285335179955853,1.0634345637597873,2,7,13,5,19.210490490018703,True
line,17,FL1,True,106.80033681117054,283.7103573532018,0.7872737875326615,1.0588899368974514,2,10,16,4,28.67797433664007,True
line,18,FL3,True,105.50132312010409,232.61426348105806,0.8041528291488251,1.062461304385789,2,9,13,5,23.42700402588612,True
line,20,FL8,True,105.36349532233704,223.8049812342659,0.8202663174691347,1.0628878262231811,4,7,13,4,20.622643706454163,True
line,23,FL4,True,105.22859271444833,218.49762179162235,0.8271918919086525,1.0633535691119618,2,7,13,7,19.431953521859768,True
line,27,FL10,True,105.9018627372075,248.45968052985108,0.8194222292240789,1.0613714782432309,2,10,14,7,21.844657594084758,True
line,28,AL5,True,112.26802687742176,216.07615974887514,0.8297614307752681,1.0619521536530334,5,7,13,4,19.056997584650226,True
line,31,RL5,True,150.49055785435013,220.69469130699818,0.7957118914659993,1.0630791372650388,3,7,13,5,25.42039901604094,True
line,32,FL13,True,105.20654842190052,217.57227247027072,0.828533517995586,1.0634345637597875,2,7,13,6,19.210490490018543,True
line,33,FL7,True,105.36349532233731,223.80498123427444,0.8202663174691288,1.0628878262231802,4,7,13,6,20.62264370645535,True
line,34,FL6,True,105.8751867815994,249.18829968014884,0.8153887362325597,1.060788659577531,2,10,13,6,22.44106832456995,True
line,38,CL14,False,,,,,-1,-1,-1,-1,1000000.0,True
line,39,CL11,True,109.02206672196246,296.0713720928828,0.8231355239246417,1.0577345605303425,2,8,14,3,23.80013579134611,True
line,40,AL4,True,105.18162094466047,216.1225167188335,0.8297776164891176,1.0637096010426075,2,7,13,7,18.991040806996498,True
line,42,FL16,True,106.63237214843868,278.6318998911888,0.7797055321045661,1.05934738292725,2,10,15,6,29.72132562095603,True
line,46,AL1,True,141.33511829862306,216.63040095145635,0.829738950663061,1.0639581991018567,3,7,13,4,19.922225089554757,True
line,47,AL6,True,112.26802687742172,216.07615974888662,0.8297614307752581,1.0619521536530314,5,7,13,5,19.05699758465198,True
line,51,AL10,True,118.77125829994193,261.8200823577555,0.8258212157576817,1.0606508361375893,3,10,14,6,21.87234585412562,True
line,52,RL8,True,120.87773981063057,222.73148296017143,0.7853895295433729,1.0628565483938335,7,7,13,3,26.425514030576778,True
line,53,RL9,True,120.87773981063057,222.73148296017143,0.7853895295433729,1.0628565483938335,7,7,13,3,26.425514030576778,True
line,54,FL15,True,105.2864071879895,221.34434675879896,0.8172684569662618,1.0631474793560896,2,7,13,7,20.959223125470892,True
line,55,CL7,True,105.21007598189989,216.56768252519578,0.8297275008332428,1.0628645515495538,2,7,13,5,18.974942445853035,True
line,56,CL16,False,,,,,-1,-1,-1,-1,1000000.0,True
line,58,FL11,True,105.65181379780238,236.19951165029852,0.8020043936369879,1.0614324106063289,4,9,13,3,23.885731991045034,True
line,59,CL6,True,105.2100759819003,216.567682525211,0.8297275008332332,1.0628645515495525,2,7,13,6,18.974942445854936,True
line,60,RL6,True,150.49055785435155,220.69469130700102,0.7957118914659945,1.063079137265038,3,7,13,6,25.420399016041852,True
line,62,CL15,False,,,,,-1,-1,-1,-1,1000000.0,True
line,66,RL4,True,149.34541180425077,220.55132430862213,0.8143727924325395,1.0630994887504102,5,7,13,8,22.470296136069287,True
line,67,CL12,False,,,,,-1,-1,-1,-1,1000000.0,True
line,68,AL2,True,141.33511829862303,216.63040095146462,0.829738950663055,1.0639581991018559,3,7,13,6,19.922225089555884,True
line,69,AL7,False,,,,,-1,-1,-1,-1,1000000.0,True
line,70,CL1,True,105.37955326692689,219.24247960521467,0.829476785895807,1.059415856396765,2,7,13,4,18.960575726932166,True
line,73,FL14,True,105.28640718798941,221.34434675879896,0.8172684569662626,1.063147479356089,2,7,13,5,20.959223125470757,True
line,77,AL8,False,,,,,-1,-1,-1,-1,1000000.0,True
line,78,CL2,False,,,,,-1,-1,-1,-1,1000000.0,True
line,79,AL9,True,118.77125829994164,261.82008235774623,0.8258212157576844,1.0606508361375901,3,10,14,6,21.872345854124795,True
line,80,FL2,False,,,,,-1,-1,-1,-1,1000000.0,True
